Start_Time,End_Time,PROGRAM/AD/SONGS,TIMELINE
06:41:55,06:42:21,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",06:41:55-06:42:21
06:42:21,06:42:29,JINGLE: RADIO CITY,06:42:21-06:42:29
06:42:29,06:46:23,"SONG: HARIHARAN MAINDAN, PN PARASURAMAN, AYYAPPAN PAADALGAL, GITAA CASSETTES, 1990, TAMIL",06:42:29-06:46:23
06:46:23,06:46:32,JINGLE: RADIO CITY,06:46:23-06:46:32
06:46:32,06:55:25,"SONG: PADIPAATTU, AVS SIVAKUMAR, VAZHI NADAI SHARANANGAL, GITAA CASSETTES, 1996, TAMIL",06:46:32-06:55:25
06:55:25,06:56:35,"PROGRAM: AALAYA DHARISANAM, RJ SHAKTHI",06:55:25-06:56:35
06:56:35,06:56:43,JINGLE: RADIO CITY,06:56:35-06:56:43
06:56:43,06:59:59,"SONG: NARAYANA NAMO, SIRKAZHI GOVINDARAJAN, BHAKTHI SANGAMAM, SAREGAMA, 1992, TAMIL",06:56:43-06:59:59
07:00:00,07:00:08,"SONG: NARAYANA NAMO, SIRKAZHI GOVINDARAJAN, BHAKTHI SANGAMAM, SAREGAMA, 1992, TAMIL",07:00:00-07:00:08
07:00:08,07:00:12,JINGLE: DEIVEEGA PADALGAL,07:00:08-07:00:12
07:00:12,07:00:18,"AD: DAVA INDIA, GENERIC PHARMACY, PHARMACEUTICALS, HEALTHCARE",07:00:12-07:00:18
07:00:18,07:00:21,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",07:00:18-07:00:21
07:00:21,07:00:26,JINGLE: RADIO CITY,07:00:21-07:00:26
07:00:26,07:00:34,JINGLE: RADIO CITY,07:00:26-07:00:34
07:00:34,07:01:13,"SONG: JAYA JAYA DEVI, P SUSHEELA, RAKSHA RAKSHA JAGAN MATHA, SAREGAMA, 2001, TAMIL",07:00:34-07:01:13
07:01:13,07:02:04,JINGLE: RADIO CITY 91.1 FM SONG,07:01:13-07:02:04
07:02:04,07:02:09,JINGLE: RADIO CITY,07:02:04-07:02:09
07:02:09,07:02:15,JINGLE: HIS NAME IS JOHN SONG INTRO,07:02:09-07:02:15
07:02:15,07:05:51,"SONG: HIS NAME IS JOHN, HARRIS JAYARAJ & PAAL DABBA, DHRUVA NATCHATHIRAM, THINK MUSIC, 2023, TAMIL",07:02:15-07:05:51
07:05:51,07:06:03,JINGLE: ANJU VANNA POOVE SONG INTRO,07:05:51-07:06:03
07:06:03,07:10:20,"SONG: ANJU VANNA POOVE, CHARULATHA MANI, THUG LIFE, SAREGAMA INDIA LTD, 2025, TAMIL",07:06:03-07:10:20
07:10:20,07:11:59,"PROGRAM: THAMIZHODU VILAIYADU, RJ BHARATH",07:10:20-07:11:59
07:11:59,07:14:14,"PROGRAM: PART 2 PREM KUMAR, RJ PREM KUMAR",07:11:59-07:14:14
07:14:14,07:14:19,JINGLE: RADIO CITY,07:14:14-07:14:19
07:14:19,07:14:28,"AD: FRESHEY'S, CURD, FOOD PRODUCTS, FMCG",07:14:19-07:14:28
07:14:28,07:14:34,"AD: MANASA, PICKLES, FOOD PRODUCTS, FMCG",07:14:28-07:14:34
07:14:34,07:14:40,"AD: RR MOBILES, SMARTPHONE, CONSUMER DURABLES-SMARTPHONE, COSUMER DURABLES",07:14:34-07:14:40
07:14:40,07:14:45,JINGLE: RADIO CITY,07:14:40-07:14:45
07:14:45,07:14:52,JINGLE: RADIO CITY,07:14:45-07:14:52
07:14:52,07:15:33,"AD: RADIO CITY, BUSINESS TITANS, RADIO, ENTERTAINMENT",07:14:52-07:15:33
07:15:33,07:15:44,"AD: GALAXY HEALTH INSURANCE, HEALTH- INSURANCE, FINANCE-INSURANCE, FINANCE",07:15:33-07:15:44
07:15:44,07:16:29,"AD: FSSAI, EAT RIGHT INDIA, PUBLIC SERVICE ADS, PUBLIC INTEREST",07:15:44-07:16:29
07:16:29,07:16:40,"AD: PRASHANTH HOSPITALS, HOSPITAL SERVICES, SERVICES-MEDICAL, HEALTHCARE",07:16:29-07:16:40
07:16:40,07:17:00,"AD: SRM GLOBAL, MULTISPECIALITY HOSPITAL, SERVICE-MEDICAL, HEALTHCARE",07:16:40-07:17:00
07:17:00,07:17:35,"AD: LIC, LIC LIFE INSURANCE, FINANCE-INSURANCE, FINANCE",07:17:00-07:17:35
07:17:35,07:17:45,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",07:17:35-07:17:45
07:17:45,07:17:52,JINGLE: RADIO CITY TRAFFIC UPDATE,07:17:45-07:17:52
07:17:52,07:17:59,"AD: CANARA BANK, BANKING SERVICES, BANKING & FINANCE, FINANCE",07:17:52-07:17:59
07:17:59,07:18:05,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",07:17:59-07:18:05
07:18:05,07:18:12,"AD: FRESHEY'S, PANEER, FOOD PRODUCTS, FMCG",07:18:05-07:18:12
07:18:12,07:18:17,"AD: MANASA, SPICES, FOOD PRODUCTS, FMCG",07:18:12-07:18:17
07:18:17,07:18:22,JINGLE: RADIO CITY,07:18:17-07:18:22
07:18:22,07:18:32,JINGLE: RADIO CITY TRAFFIC UPDATE,07:18:22-07:18:32
07:18:32,07:18:56,"PROGRAM: TRAFFIC UPDATE, RJ BHARATH",07:18:32-07:18:56
07:18:56,07:19:15,JINGLE: DILLUBARU AAJA SONG INTRO,07:18:56-07:19:15
07:19:15,07:23:31,"SONG: DILLUBARU AAJA, DHIBU NINAN THOMAS & SILAMBARASAN TR & SHWETHA MOHAN & ROKESH, DIESEL, THINK MUSIC, 2025, TAMIL",07:19:15-07:23:31
07:23:31,07:23:50,JINGLE: RADIO CITY 91.1 FM SONG,07:23:31-07:23:50
07:23:50,07:24:01,JINGLE: MANASELLAM MAZHAIYE SONG INTRO,07:23:50-07:24:01
07:24:01,07:29:12,"SONG: MANASELLAM MAZHAIYE, SONU NIGAM & SAINDHAVI & GV PRAKASH KUMAR, SAGUNI, GEMINI AUDIO, 2012, TAMIL",07:24:01-07:29:12
07:29:12,07:29:16,JINGLE: RADIO CITY,07:29:12-07:29:16
07:29:16,07:31:15,"PROGRAM: THAMIZHODU VILAIYADU, RJ BHARATH",07:29:16-07:31:15
07:31:15,07:31:24,JINGLE: RADIO CITY,07:31:15-07:31:24
07:31:24,07:32:13,"AD: RADIOCITY, REEL STAR, RADIO, ENTERTAINMENT",07:31:24-07:32:13
07:32:13,07:32:43,"AD: IFFCO TOKIO, LIFE INSURANCE, FINANCE-INSURANCE, FINANCE",07:32:13-07:32:43
07:32:43,07:33:08,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",07:32:43-07:33:08
07:33:08,07:33:19,"AD: PRASHANTH HOSPITALS, HOSPITAL SERVICES, SERVICES-MEDICAL, HEALTHCARE",07:33:08-07:33:19
07:33:19,07:33:55,"AD: LIC, LIC LIFE INSURANCE, FINANCE-INSURANCE, FINANCE",07:33:19-07:33:55
07:33:55,07:34:41,"AD: FSSAI, EAT RIGHT INDIA, PUBLIC SERVICE ADS, PUBLIC INTEREST",07:33:55-07:34:41
07:34:41,07:34:51,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",07:34:41-07:34:51
07:34:51,07:35:22,"AD: SRM GLOBAL, MULTISPECIALITY HOSPITAL, SERVICE-MEDICAL, HEALTHCARE",07:34:51-07:35:22
07:35:22,07:35:27,JINGLE: RADIO CITY,07:35:22-07:35:27
07:35:27,07:35:46,JINGLE: UYIR PATHIKAAMA SONG INTRO,07:35:27-07:35:46
07:35:46,07:38:51,"SONG: UYIR PATHIKAAMA, SANTHOSH NARAYANAN & VIJAYNARAIN & ADITYA RAVINDRAN, VAA VAATHIYAAR, THINK MUSIC, 2025, TAMIL",07:35:46-07:38:51
07:38:51,07:39:09,JINGLE: RADIO CITY 91.1 FM SONG,07:38:51-07:39:09
07:39:09,07:39:23,JINGLE: AATHI ADI AATHI SONG INTRO,07:39:09-07:39:23
07:39:23,07:41:47,"SONG: AATHI ADI AATHI, GV PRAKASH KUMAR & SADHIKA KR & VIVEK, VEERA DHEERA SOORAN, THINK MUSIC, 2025, TAMIL",07:39:23-07:41:47
07:41:47,07:41:51,JINGLE: RADIO CITY TIME CHECK,07:41:47-07:41:51
07:41:51,07:41:58,"AD: CANARA BANK, BANKING SERVICES, BANKING & FINANCE, FINANCE",07:41:51-07:41:58
07:41:58,07:42:03,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",07:41:58-07:42:03
07:42:03,07:42:09,"AD: FRESHEY'S, IDLI AND DOSA BATTER, FOOD PRODUCTS, FMCG",07:42:03-07:42:09
07:42:09,07:42:14,"AD: MANASA, HERBAL HAIR OIL, HAIR CARE, PERSONAL CARE",07:42:09-07:42:14
07:42:14,07:42:20,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",07:42:14-07:42:20
07:42:20,07:42:24,JINGLE: RADIO CITY,07:42:20-07:42:24
07:42:24,07:42:32,JINGLE: RADIO CITY,07:42:24-07:42:32
07:42:32,07:42:40,JINGLE: KUTTYMA SONG INTRO,07:42:32-07:42:40
07:42:40,07:46:32,"SONG: KUTTYMA, MERVIN SOLOMON & VIVEK-MERVIN & KU KARTHIK, JINN THE PET, SAREGAMA, 2023, TAMIL",07:42:40-07:46:32
07:46:32,07:49:13,PROGRAM: POSITIVITY WITH RADIO CITY,07:46:32-07:49:13
07:49:13,07:50:06,"AD: RADIO CITY, RADIO CITY WITH RJ MUNNA, RADIO, ENTERTAINMENT",07:49:13-07:50:06
